a_cheaper_bootstrap_share,a_cheaper_replicates,a_higher_pass_rate_bootstrap_share,a_higher_pass_rate_replicates,bca_acceleration,bca_bias_correction,bca_defined_jackknife_clusters,bca_log_cpsc_ratio_ci_high,bca_log_cpsc_ratio_ci_low,config_a,config_b,defined_pass_rate_replicates,defined_replicates,log_cpsc_ratio_ci_high,log_cpsc_ratio_ci_low,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_log_cpsc_ratio,probability_a_cheaper,probability_tied,tied_cpsc_replicates
1.0,10000,0.0011,11,0.013126555358178228,0.0077706258524470675,113,-0.9652088067690341,-1.250500673659029,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_fable_5_xhigh,10000,10000,-0.9707257656670417,-1.2543278995161837,-0.0388974705156939,-0.16917227360489723,-1.1126464977011232,1.0,0.0,0
0.9984,9984,0.9812,9812,0.016742139151314086,0.03535082016400561,113,-0.08274749699744748,-0.4460886169961985,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_opus_4_8_high,10000,10000,-0.09421857609181519,-0.4592519088101239,0.15194997920266937,0.004840618513003517,-0.2711359641078004,0.9984,0.0,0
0.111,1110,1.0,10000,0.006053976880410217,0.021809394804630424,113,0.2881573719034633,-0.05964720693376275,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_opus_4_8_low,10000,10000,0.2819206808839906,-0.0650236885593854,0.260291161690072,0.11528701264255788,0.11507769054264638,0.111,0.0,0
1.0,10000,0.5636,5636,0.021258950930333673,0.02857945239932378,113,-1.0818477901535708,-1.434835482558892,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_opus_4_8_max,10000,10000,-1.094106138548992,-1.446281905872592,0.07736791971999109,-0.06770469911792516,-1.2683623937578918,1.0,0.0,0
0.9086,9086,0.9991,9991,0.011595084865999987,0.021307952628745325,113,0.058804973959492954,-0.2863307979536669,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_opus_4_8_medium,10000,10000,0.051740780244405135,-0.2950795584290033,0.18049591601859294,0.03994416300618058,-0.11501544514339566,0.9086,0.0,0
1.0,10000,0.9117,9117,0.019171795510467028,0.033344333975214316,113,-0.6514981704910294,-1.026557188348486,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_opus_4_8_xhigh,10000,10000,-0.6683596601302901,-1.0388657011928308,0.12818433136956933,-0.023989263865789676,-0.8481015581258741,1.0,0.0,0
1.0,10000,1.0,10000,0.007069086373476889,0.02807792553819829,113,-0.859546289009227,-1.2967567300056804,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_4_6_high,10000,10000,-0.8687838330701889,-1.305491768578323,0.3720548933657841,0.21942785633091147,-1.0733650986975942,1.0,0.0,0
1.0,10000,0.9993,9993,0.013419718828901896,0.04463279759461038,113,-0.7048037096087769,-1.0629718219409643,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_5_high,10000,10000,-0.7185034376306193,-1.0755332483715188,0.18589298702873072,0.04279922872690736,-0.892483959046132,1.0,0.0,0
0.9072,9072,1.0,10000,-0.0016042762653480107,0.032090348787252906,113,0.07040454087264907,-0.33788869903665525,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_5_low,10000,10000,0.06507287936069471,-0.3472306021113692,0.36000798172208914,0.22614766826968974,-0.12773796349397967,0.9072,0.0,0
1.0,10000,0.9102,9102,0.009423571373678736,0.0097760059847881,113,-1.8564969541655303,-2.246987524061308,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_5_max,10000,10000,-1.8623900476028852,-2.2517228047865547,0.14184776020445353,-0.026421635495698977,-2.0507665933455606,1.0,0.0,0
1.0,10000,1.0,10000,0.00755500361276093,0.045134628481421295,113,-0.2809346491758606,-0.6874913915888362,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_5_medium,10000,10000,-0.2944157660457554,-0.6989280376205833,0.2734170595987623,0.12374796153606057,-0.48609123662774634,1.0,0.0,0
1.0,10000,0.9957,9957,0.0166417271324548,0.04086941545270202,113,-1.1432921162309728,-1.5041211759658568,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_sonnet_5_xhigh,10000,10000,-1.158013756765989,-1.5169973685319424,0.17303980623360785,0.027043668132645395,-1.3339410820383166,1.0,0.0,0
