attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
68,6.365370658064516,6.166968225,mini_swe_agent_claude_sonnet_4_6_high,62,mini-swe-agent,0,6.347864561029412,claude-sonnet-4-6,68,0.08823529411764706,29.0,anthropic,4.0,33.0,71.942465025,0.9142791642897281,65.7754968,high,rare,6,0.17647058823529413,17,3,431.65479015
68,8.788347595238095,11.715288269999999,mini_swe_agent_claude_sonnet_5_high,63,mini-swe-agent,0,9.00356382132353,claude-sonnet-5,68,0.07352941176470588,31.0,anthropic,5.0,36.0,122.44846797,0.9043247460403485,110.7331797,high,rare,5,0.29411764705882354,17,5,612.24233985
68,2.6689117359375,3.4424691375,mini_swe_agent_claude_sonnet_5_low,64,mini-swe-agent,0,2.7144151125,claude-sonnet-5,68,0.058823529411764705,33.5,anthropic,-5.5,28.0,46.145056912499996,0.9253989621460953,42.702587775,low,rare,4,0.17647058823529413,17,3,184.58022764999998
66,28.643026094117644,31.87933594,mini_swe_agent_claude_sonnet_5_max,51,mini-swe-agent,0,29.378551059090906,claude-sonnet-5,66,0.22727272727272727,11.0,anthropic,26.0,37.0,129.26562466,0.7533811790733197,97.38628871999998,max,rare,15,0.5294117647058824,17,9,1938.9843698999998
68,4.4220665132812496,6.273142387500001,mini_swe_agent_claude_sonnet_5_medium,64,mini-swe-agent,0,4.530953329411765,claude-sonnet-5,68,0.058823529411764705,33.5,anthropic,0.5,34.0,77.0262066,0.9185583366440896,70.75306421249999,medium,rare,4,0.17647058823529413,17,3,308.1048264
68,14.142653428571428,16.58730969,mini_swe_agent_claude_sonnet_5_xhigh,63,mini-swe-agent,0,14.322407565441177,claude-sonnet-5,68,0.07352941176470588,31.0,anthropic,7.0,38.0,194.78474289,0.914842869909132,178.19743319999998,xhigh,rare,5,0.23529411764705882,17,4,973.9237144499999
68,11.792103043076924,10.431735333333332,mini_swe_agent_gemini_3_1_pro_preview_high,65,mini-swe-agent,0,11.732086820588236,gemini-3-1-pro-preview,68,0.04411764705882353,35.5,vertex_ai,3.5,39.0,265.9273012666667,0.960772228787173,255.49556593333338,high,rare,3,0.11764705882352941,17,2,797.7819038
68,9.267651519827586,9.152036835,mini_swe_agent_gemini_3_5_flash_medium,58,mini-swe-agent,0,9.250649360294117,gemini-3-5-flash,68,0.14705882352941177,22.0,vertex_ai,9.0,31.0,62.90441565,0.8545088331171868,53.752378815,medium,rare,10,0.47058823529411764,17,8,629.0441565
68,3.6463819671428572,3.2162600133333332,mini_swe_agent_glm_5_2_high,56,mini-swe-agent,0,3.5704780929411766,glm-5-2,68,0.17647058823529413,17.0,zai,-5.0,12.0,20.232709193333335,0.8410366114295218,17.016449180000002,high,rare,12,0.4117647058823529,17,7,242.79251032000002
68,4.668432862666667,5.911625910000001,mini_swe_agent_glm_5_2_max,60,mini-swe-agent,0,4.814690868235294,glm-5-2,68,0.11764705882352941,26.5,zai,0.5,27.0,40.924872380000004,0.8555493135052753,35.013246470000006,max,rare,8,0.29411764705882354,17,5,327.39897904000003
68,5.957153863636364,6.503808192307692,mini_swe_agent_gpt_5_4_xhigh,55,mini-swe-agent,0,6.061661308823529,gpt-5-4,68,0.19117647058823528,13.5,openai,8.5,22.0,31.707151461538462,0.7948788240975552,25.20334326923077,xhigh,rare,13,0.4117647058823529,17,7,412.192969
68,6.079853574074074,5.7355563571428565,mini_swe_agent_gpt_5_5_high,54,mini-swe-agent,0,6.008968852941177,gpt-5-5,68,0.20588235294117646,12.0,openai,8.0,20.0,29.18642014285714,0.8034854453177419,23.450863785714283,high,rare,14,0.5294117647058824,17,9,408.60988199999997
